Company Name,Industry,Address,City,State,ZIP,Contact First Name,Contact Middle Initial,Contact Last Name,Phone,Birthdate,Email,Account Code,National ID,Creation Date,Modify Date,Demo Reference
Murphy's Fine Wine,Wines-Retail,106 Vervalen St,Closter,NJ,07624-2613,Vick,David,Yaggi,(771) 395-1980,01/12/1981,vjaggi@murphswine.com,<9921-2613/Yag>,888-41-3278,03/27/01,12/22/03,1. National ID Match 1
Arise Prosthetics,Artificial Limbs,1830 W Colter St # 101,pHOENIX,Arizona,85015-9001,Mark,D,Werner,(984) 915-7948,07/07/1976,mwerner@ariseprosthetics.com,<7948-9001/Wer>,888-41-3110,10/25/03,07/01/00,2. Mixed up Address 1
Brooksamerica Mortgage Corp,"Mortgage bankers and correspondents, nec",6 Hutton Centre Dr # 1020,sANTA ANA,CA,92707-8763,Michael,W,Brooks,+1 (452) 134-7586,05/08/1964,mbrooks@brooksamericamortgagecorp.com,<3594-8763/Bro>,120-65-2094,07/05/97,04/03/04,2. Mixed up Address 2
Arrowhead Desert Tours Inc,"Tour operators, nec",841 E Paradise Ln,pHOENIX,Arizona,85022-3142,Thomas,,Destories,(660) 432-9530,05/11/1980,tdestories@arrowheaddeserttoursinc.com,<9530-3142/Des>,919-24-5051,05/24/06,11/14/00,3. Fuzzy Company Match 1
Southern Utah Fed Credit Union,Federally Chartered Credit Unions,85 N 200 W,hURRICANE,Utah,84737-2076,Teresa,,Blackburn,(143) 641-4057,11/11/1965,tblackburn@southernutahfedcreditunion.com,<4057-2076/Bla>,382-03-4471,02/02/00,01/11/06,3. Fuzzy Company Match 2
Maez Fencing,Special Trade Contractors Nec,3000 S Yates St,dENVER,Colorado,80236-2025,Richard,David,Maez,(989) 817-6663,30/12/1972,rmaez@maezfencing.com,<6663-2025/Mae>,248-52-8332,12/21/08,09/06/97,4. Name Match Common Name 1
GPX Inc,"Electrical appliances, television and radio, nec",900 N 23rd St,sAINT LOUIS, MO,63106-2835,William,,Fetter,+1 (129) 905-1495,10/03/1981,wfetter@gpxinc.com,<9655-2835/Fet>,841-75-4816,09/01/02,07/17/08,4. Name Match Common Name 2
Barker Supply Company Inc,Lumber-Exporters & Importers (Whol),819 N 7th Ave,pHOENIX,Arizona,85007-2308,Robert,,Barker,(420) 883-4010,25/09/1965,rbarker@barkersupplycompanyinc.com,<4010-2308/Bar>,322-84-0791,05/12/96,06/10/99,5. Word Smith Companies 1
Rdc Electrical Corporation,Misc Electrical Goods (Wholesale),3411 S 44th St,pHOENIX,Arizona,85040-1947,Glen,,Rodolico,(735) 331-1741,10/07/1959,grodolico@rdcelectricalcorporation.com,<1741-1947/Rod>,256-37-4115,03/31/05,07/07/10,5. Word Smith Companies 2
Mechanical Designs USA,Metal Fabricators,1321 Xb Pl,bOONE,IA,,Don,Y,Barber,(763) 855-2124,27/07/1960,dbarber@mechanicaldesignsusa.com,<2124-/Bar>,208-93-2238,12/10/98,12/30/11,6. Master Record Assignment 1
Cqg Ltd,"Information retrieval services, nec",1050 17th St Ste 2000,dENVER,Colorado,,Tim,Y,Mather,(854) 631-8157,01/02/1977,tmather@cqgltd.com,<8157-/Mat>,823-45-9955,10/29/07,09/17/11,6. Master Record Assignment 2
Parent Network Of Wny,Non-Profit Organizations,1000 Main St,bUFFALO,NY,,Max,D,Donatelli,(998) 361-9888,29/10/1981,mdonatelli@parentnetworkofwny.com,<9888-/Don>,996-93-1717,07/09/01,07/21/06,
Community Clubhouse,Environmental Conservation/Ecologcl Org,1000 S 248th St,sEATTLE,WA,,Jim,W,Essman,(134) 239-0721,23/09/1956,jessman@communityclubhouse.com,<0721-/Ess>,280-43-8504,03/20/95,03/31/00,
Sterling Management Consulting,Computers-System Designers & Consultants,102 Carriage Trl,bELLE MEAD,NJ,,Sol,S,Klinger,(897) 912-3484,17/04/1964,sklinger@sterlingmanagementconsulting.com,<3484-/Kli>,343-20-2462,02/06/04,02/17/09,
Amy Justus,Massage Therapists,102 Security Sq,wINTER HAVEN,FL,,Amy,J,Justus,(916) 038-7062,02/02/1974,ajustus@amyjustus.com,<7062-/Jus>,288-06-0505,10/17/97,10/29/02,
Foam Equipment & Consulting Co,Plastics-Machinery & Equipment (Whol),10725 Indian Head Industrial,sT LOUIS,MO,,Ted,D,Komen,(951) 985-9239,19/01/1980,tkomen@foamequipment&consultingco.com,<9239-/Kom>,847-15-0724,09/05/06,05/28/05,
HOMEVESTORS-Fhi,Real Estate,10979 Reed Hartman Hwy,cINCINNATI, Ohio,,Jim,S,Venters,(275) 527-8596,16/04/1978,jventers@homevestors-fhi.com,<8596-/Ven>,436-02-8582,05/16/00,02/06/99,
Ben Eishen Painting & Electric,Painting/paper hanging contractor,1100 Whittlesey St,fREMONT, Ohio,,Ben,E,Eishen,(881) 006-9577,22/12/1980,beishen@beneishenpainting&electric.com,<9577-/Eis>,627-93-2305,04/04/09,12/26/07,
Willowind Rv,Recreational Vehicle Parks,1150 W 80 S,hURRICANE,Utah,,Ron,,Bouck,(682) 083-1707,06/06/1959,rbouck@willowindrv.com,<1707-/Bou>,809-11-6118,12/14/02,09/05/01,
Toms Clip Joint,Barber shop,119 W State St,hURRICANE,Utah,,Tom,,Hirschi,(693) 837-8822,28/11/1978,thirschi@tomsclipjoint.com,<8822-/Hir>,800-68-2495,08/24/96,07/25/10,
Uncle Sam's Pizza & Subs,Restaurants,1207 Seneca St,bUFFALO,NY,,Sam,A,Beu,(627) 732-8509,19/01/1978,sbeu@unclesam'spizza&subs.com,<8509-/Beu>,610-52-4896,07/13/05,04/04/04,
Sugar Shack,Retail bakeries,12151 S Dixie Hwy,mIAMI,FL,,Lya,B,Battle,(102) 626-1070,07/09/1957,lbattle@sugarshack.com,<1070-/Bat>,947-26-0559,03/24/99,12/14/97,
Real Estate Plumbing Inc,Heating Contractors,122 Ovella Ave,hUNTSVILLE,AL,,Tim,D,Haynes,(200) 395-7115,27/03/1974,thaynes@realestateplumbinginc.com,<7115-/Hay>,393-48-6822,02/10/08,11/02/06,
Refined Wood Works Inc,Manufacturer of wood kitchen,12200 Northup Way Ste B,bELLEVUE,WA,,Jan,W,Pettigew,(307) 682-7994,22/08/1976,jpettigew@refinedwoodworksinc.com,<7994-/Pet>,870-08-0884,10/21/01,07/13/00,
Ann Malphrus Dvm,"Veterinary services, specialties, nec",1300 Stallings Rd,gREENVILLE,SC,,Ann,S,Malphrus,(351) 666-1096,03/10/1957,amalphrus@annmalphrusdvm.com,<1096-/Mal>,806-22-4801,07/02/95,06/01/09,
Kaplan Test Preparation,Tutoring,132 E St,dAVIS,CA,,Nan,J,Leake,(476) 759-5785,05/08/1970,nleake@kaplantestpreparation.com,<5785-/Lea>,305-39-1385,05/20/04,02/10/03,
Agony of Defeet,Retailer of shoes,1324 S Milwaukee Ave,lIBERTYVILLE,IL,,Jay,D,Umansky,(679) 487-4792,16/11/1967,jumansky@agonyofdefeet.com,<4792-/Uma>,48-86-6234,01/29/98,09/09/05,
Arlington Altrntor Starter Svc,Wheel Alignment-Frame & Axle Svc-Auto,1324 W Mayfield Rd,aRLINGTON,TX,,Bob,S,Kiker,(163) 846-1438,10/09/1958,bkiker@arlingtonaltrntorstartersvc.com,<1438-/Kik>,106-94-2520,12/18/06,05/21/99,
Chimney Rock LLC,Land developer,14 Summit West Cv,cABOT,AR,,Bob,E,Tazler,(207) 542-7575,30/06/1975,btazler@chimneyrockllc.com,<7575-/Taz>,25-70-4811,08/28/00,04/08/08,
D J Transport,Trucking-Liquid & Dry Bulk,1401 S 59th Ave,pHOENIX,Arizona,,Dan,,Dickey,(117) 165-4406,26/10/1966,ddickey@djtransport.com,<4406-/Dic>,707-03-9804,07/17/09,12/18/01,
Jim's Old Fashion Svc Inc,Air Conditioning Contractors & Systems,14163 Dartmoor Dr,bENTONVILLE,AR,72712-8869,Jim,,Edgingtion,(654) 385-3371,26/12/1963,jedgingtion@jim'soldfashionsvcinc.com,<3371-8869/Edg>,783-88-2841,03/28/03,11/06/10,
Master Piece Mortgage,Loan broker,14301 FNB Pkwy Ste 207,oMAHA,NE,68154-5299,Jay,A,Davis,(382) 829-1886,02/12/1959,jdavis@masterpiecemortgage.com,<1886-5299/Dav>,241-45-0559,12/06/96,07/17/04,
Action Acoustics LLC,Acoustical Contractors,1438 N Estrada,mESA,Arizona,85207-4124,Bob,B,Kelly,(368) 344-1384,18/07/1958,bkelly@actionacousticsllc.com,<1384-4124/Kel>,271-85-4522,10/25/05,03/28/98,
Sterling Management Consulting,Computers-System Designers & Consultants,15 Roszel Rd,pRINCETON,NJ,08540-6248,Sol,D,Klinger,(265) 566-4608,16/05/1967,sklinger@sterlingmanagementconsulting.com,<4608-6248/Kli>,157-49-3775,07/06/99,02/14/07,
Country Club Village Ltd,Apartments,1515 S Wildan Ave,sPRINGFIELD,MO,65804-1415,Cyd,W,Youngclas,(288) 905-7127,08/04/1974,cyoungclas@countryclubvillageltd.com,<7127-1415/You>,608-21-3608,05/24/08,10/25/00,
Theothercatalogcom,Magazines-Subscription Agents,1540 22nd St,pORT TOWNSEND,WA,98368-7016,Joe,S,Tipia,(412) 321-6143,29/07/1971,jtipia@theothercatalogcom.com,<6143-7016/Tip>,392-30-3090,02/02/02,09/13/09,
Desernet Broadband Media,Communication services,15652 S 26th Way,pHOENIX,Arizona,85048-9226,Art,J,Atonna,(238) 208-2324,12/02/1961,aatonna@desernetbroadbandmedia.com,<2324-9226/Ato>,547-91-4654,10/14/95,05/25/03,
Bertera Collision Repair Ctr,Automobile Body-Repairing & Painting,160 Westfield St,wEST SPRINGFIELD,MA,01089-2588,Ruy,Y,Mendes,(414) 585-3416,09/02/1964,rmendes@berteracollisionrepairctr.com,<3416-2588/Men>,662-68-3816,09/01/04,04/12/12,
Tsp Limited,Billiard Equipment & Supplies (Whol),16152 Cohasset St,vAN NUYS,CA,91406-2909,Tom,D,Powell,(435) 526-2583,29/10/1961,tpowell@tsplimited.com,<2583-2909/Pow>,532-71-1383,05/13/98,12/22/05,
Department Workforce Services,Employment agency,162 N 400 E,sT GEORGE,Utah,84770-7115,Jan,S,Thompson,(838) 435-6856,11/07/1973,jthompson@departmentworkforceservices.com,<6856-7115/Tho>,561-48-6183,04/01/07,09/02/99,
Pacific Disc Grinding Co Inc,Machine Shops,1690 Lana Way C,hOLLISTER,CA,95023-2532,Ray,E,Palmer,(661) 048-2685,08/02/1962,rpalmer@pacificdiscgrindingcoinc.com,<2685-2532/Pal>,857-51-9714,12/10/00,07/21/08,
Beach Break,Retailer of shoes,1770 Red Cliffs Dr # 185,sT GEORGE,Utah,84790-8161,Lem,,Lescia,(405) 809-0466,12/01/1956,llescia@beachbreak.com,<0466-8161/Les>,229-26-1076,10/29/09,04/01/02,
Acura Neon Inc,Signs (Manufacturers),1801 N Willow Ave,bROKEN ARROW,OK,74012-9161,Mir,,Khezri,(627) 991-1444,16/09/1958,mkhezri@acuraneoninc.com,<1444-9161/Khe>,569-54-7769,07/10/03,02/18/11,
3b Medical Systems Inc,Wholesaler of chemicals and allied products,1840 Industrial Dr # 160,lIBERTYVILLE,IL,60048-9400,WEI,A,Xu,(674) 255-3634,14/09/1964,wxu@3bmedicalsystemsinc.com,<3634-9400/Xu>,751-22-7241,03/20/97,10/29/04,
Ex Libris (usa) Inc,Computers-System Designers & Consultants,1919 N Sheffield Ave,cHICAGO,IL,60614-5018,Dan,B,Trajman,(910) 329-1701,31/05/1959,dtrajman@exlibris(usa)inc.com,<1701-5018/Tra>,204-74-5851,02/06/06,07/10/98,
Bug & Weed Mart Stores,Pest Control Supplies & Equip-Mfrs,20 S Power Rd,mESA,Arizona,85206-9800,Tom,D,Treadway,(409) 249-7212,02/07/1974,ttreadway@bug&weedmartstores.com,<7212-9800/Tre>,864-68-4907,10/18/99,05/29/07,
MBB Inc,Factory Locating Consultants,200 Field Point Rd FL 1,gREENWICH,CT,06830-6446,Jim,W,Breck,(196) 389-4700,16/08/1967,jbreck@mbbinc.com,<4700-6446/Bre>,73-23-7337,09/05/08,02/06/01,
MAACO Auto Painting & Bodywork,Automobile Body-Repairing & Painting,201 Carriage Ln,dELRAN,NJ,08075-1237,Ron,S,Raio,(785) 208-9728,22/05/1981,rraio@maacoautopainting&bodywork.com,<9728-1237/Rai>,964-02-4326,05/17/02,12/26/09,
Sol Klein General Carpentry,Carpenters,20112 Hebron Rd,hARVARD,IL,60033-9211,Sol,J,Klein,(168) 946-9835,06/09/1981,sklein@solkleingeneralcarpentry.com,<9835-9211/Kle>,594-16-4516,01/26/96,09/06/03,
Mekong Market,Market Research & Analysis,2016 W Buckingham Rd,gARLAND,TX,75042-5000,Lae,Y,Phoxayvoig,(997) 893-5392,08/07/1969,lphoxayvoig@mekongmarket.com,<5392-5000/Pho>,577-32-1064,12/14/04,07/25/12,
